,compound,date,handle,negative,neutral,positive,text,tweets_ago
0,0.0,Mon Jul 02 07:27:05 +0000 2018,@BBC,0.0,1.0,0.0,An experiment using a vending machine specifically designed for crows has revealed something about how intelligence… https://t.co/ND20eqlIZ3,0
1,0.0,Mon Jul 02 07:03:02 +0000 2018,@BBC,0.0,1.0,0.0,🏃🏻‍♂️ This Scottish teenager has mind-blowing #parkour skills. https://t.co/SlvAKocTJ2,1
2,0.8299,Sun Jul 01 20:43:50 +0000 2018,@BBC,0.0,0.71,0.29,"RT @BBC6Music: 👏 What was the best gig you saw in June?

🎟 What exciting things have you got coming up in July?",2
3,0.6588,Sun Jul 01 19:36:52 +0000 2018,@BBC,0.0,0.845,0.155,"RT @bbc5live: “We said jokingly, ‘is it a shark?!’” 😲🦈

A great white shark has been spotted in Spanish waters for the first time in over 4…",3
4,0.4019,Sun Jul 01 19:27:02 +0000 2018,@BBC,0.0,0.87,0.13,"Get unprecedented access to the hidden world of elite gymnasts in Russia. 🤸‍♀️

Storyville: Olympic Dreams of Russi… https://t.co/2ZhaGsysoa",4
5,-0.2957,Sun Jul 01 19:02:03 +0000 2018,@BBC,0.176,0.657,0.168,"✈️🌍 @RomeshRanga travels way beyond his comfort zone to some of the most beautiful, but dangerous, places on earth.… https://t.co/ud4Vni3WW2",5
6,-0.0516,Sun Jul 01 18:00:19 +0000 2018,@BBC,0.273,0.515,0.211,"Why were these photos of the Great Depression censored using a hole punch?
https://t.co/LijCpCURdC",6
7,0.5994,Sun Jul 01 17:58:17 +0000 2018,@BBC,0.0,0.822,0.178,"RT @BBCSport: Two-time champion Andy Murray has withdrawn from #Wimbledon on the eve of the tournament.

More: https://t.co/Ngi3D5UZQF http…",7
8,0.0,Sun Jul 01 17:07:02 +0000 2018,@BBC,0.0,1.0,0.0,Experienced sailor Emily Penn has set out with an all-female crew to investigate the world's largest accumulation o… https://t.co/WQ0W3RPHRk,8
9,0.0,Sun Jul 01 16:32:14 +0000 2018,@BBC,0.0,1.0,0.0,"RT @BBCMOTD: Bring on penalties!

#ESPRUS #WorldCup https://t.co/feSCpfSUWI",9
10,0.0,Sun Jul 01 16:06:03 +0000 2018,@BBC,0.0,1.0,0.0,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/S6gXo5Yfgv",10
11,0.0,Sun Jul 01 15:07:02 +0000 2018,@BBC,0.0,1.0,0.0,When Natasha was 14 she had nowhere to call home. https://t.co/O5w2JzIWFh,11
12,0.9096,Sun Jul 01 14:19:37 +0000 2018,@BBC,0.0,0.582,0.418,RT @BBCTwo: Happy #CanadaDay to the hilarious @kathbum! Here are all your very best bits from #LiveAtTheApollo! ❤️🇨🇦 https://t.co/VHpkGeR2ia,12
13,0.5574,Sun Jul 01 13:32:20 +0000 2018,@BBC,0.0,0.841,0.159,"RT @BBCScotland: The remarkable Viking discovery on the Isle of Skye.

See more from Scotland from the Sky https://t.co/FRtwE5IzGA https://…",13
14,0.0516,Sun Jul 01 13:08:41 +0000 2018,@BBC,0.252,0.485,0.262,RT @bbcthree: Georgina organises parties to help combat loneliness. She's 96 years old. https://t.co/VGZ1LB6FoW,14
15,0.5859,Sun Jul 01 13:04:05 +0000 2018,@BBC,0.0,0.678,0.322,❤️ What a lovely thing to do for someone. https://t.co/goE9GEi8k0,15
16,-0.296,Sun Jul 01 11:53:09 +0000 2018,@BBC,0.145,0.855,0.0,"RT @bbcstories: The incredible 23-year-old @SherrieSilver, who choreographed Childish Gambino's (@donaldglover’s) #ThisIsAmerica video, say…",16
17,0.7269,Sun Jul 01 11:52:12 +0000 2018,@BBC,0.0,0.747,0.253,"RT @bbcarts: David Attenborough on the artistic abilities of animals, including the great reed warbler, peacock jumping spider and Japanese…",17
18,0.0,Sun Jul 01 11:04:03 +0000 2018,@BBC,0.0,1.0,0.0,Got a sour taste in your mouth? https://t.co/sFxRSJzwaN,18
19,-0.7003,Sun Jul 01 10:08:02 +0000 2018,@BBC,0.266,0.734,0.0,"☄️🔭 71 years after her death, the UK's forgotten astronomer Annie Maunder is finally getting some recognition. https://t.co/fjWUaZC4zQ",19
20,0.4303,Sun Jul 01 09:03:08 +0000 2018,@BBC,0.07,0.742,0.188,🇬🇧 Life on Great Britain's outer islands is not always easy - but that hasn't stopped people making them their home… https://t.co/5654v897yH,20
21,0.0,Sun Jul 01 08:07:00 +0000 2018,@BBC,0.0,1.0,0.0,"How did we get here; to a world full of plastic?

#PlasticsAction https://t.co/LwY3W2RC61",21
22,-0.128,Sun Jul 01 07:04:01 +0000 2018,@BBC,0.133,0.753,0.115,"Half of all people who drown never intended to be in the water.

Knowing how to stay afloat could save your life 👇 https://t.co/94IezeCREn",22
23,0.5707,Sat Jun 30 19:56:38 +0000 2018,@BBC,0.0,0.85,0.15,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",23
24,-0.5106,Sat Jun 30 19:50:50 +0000 2018,@BBC,0.356,0.491,0.153,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,24
25,-0.6705,Sat Jun 30 19:27:05 +0000 2018,@BBC,0.234,0.766,0.0,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",25
26,0.0,Sat Jun 30 18:28:48 +0000 2018,@BBC,0.0,1.0,0.0,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,26
27,0.0,Sat Jun 30 18:12:00 +0000 2018,@BBC,0.0,1.0,0.0,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",27
28,0.3802,Sat Jun 30 17:04:00 +0000 2018,@BBC,0.0,0.834,0.166,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",28
29,0.0,Sat Jun 30 16:04:06 +0000 2018,@BBC,0.0,1.0,0.0,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,29
30,0.0,Sat Jun 30 16:03:09 +0000 2018,@BBC,0.0,1.0,0.0,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",30
31,-0.3818,Sat Jun 30 15:07:03 +0000 2018,@BBC,0.157,0.843,0.0,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",31
32,0.5509,Sat Jun 30 13:40:13 +0000 2018,@BBC,0.0,0.835,0.165,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",32
33,0.0,Sat Jun 30 12:58:04 +0000 2018,@BBC,0.0,1.0,0.0,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",33
34,0.5719,Sat Jun 30 12:13:52 +0000 2018,@BBC,0.0,0.866,0.134,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,34
35,0.8224,Sat Jun 30 12:13:40 +0000 2018,@BBC,0.0,0.703,0.297,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",35
36,0.0,Sat Jun 30 12:07:04 +0000 2018,@BBC,0.0,1.0,0.0,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,36
37,0.0,Sat Jun 30 11:05:01 +0000 2018,@BBC,0.0,1.0,0.0,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,37
38,0.1007,Sat Jun 30 10:02:04 +0000 2018,@BBC,0.0,0.878,0.122,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",38
39,-0.4404,Sat Jun 30 09:23:10 +0000 2018,@BBC,0.208,0.683,0.109,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",39
40,0.0,Sat Jun 30 09:05:03 +0000 2018,@BBC,0.0,1.0,0.0,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,40
41,0.0,Sat Jun 30 08:19:13 +0000 2018,@BBC,0.0,1.0,0.0,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",41
42,0.0,Sat Jun 30 08:04:06 +0000 2018,@BBC,0.0,1.0,0.0,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,42
43,-0.8689,Sat Jun 30 07:02:00 +0000 2018,@BBC,0.521,0.479,0.0,"A heartbreaking look at how our discarded plastics are killing wildlife.
#PlasticsAction https://t.co/R3lZNSDtMa",43
44,0.0772,Fri Jun 29 18:01:04 +0000 2018,@BBC,0.0,0.843,0.157,😂 Dropping MAJOR hints that you want a lift… https://t.co/BC9bJWyOky,44
45,0.0,Fri Jun 29 15:18:58 +0000 2018,@BBC,0.0,1.0,0.0,"🏇💨 Leaving work on a Friday like...
#FridayFeeling https://t.co/3sGXNH5eqM",45
46,-0.7184,Fri Jun 29 15:05:41 +0000 2018,@BBC,0.37,0.522,0.109,"RT @bbcthree: Terrifying ✅
Awkward  ✅
Disappointing  ✅

Turns out @rachelparris' Tinder experience was exactly like everyone else's https:/…",46
47,0.1779,Fri Jun 29 13:01:05 +0000 2018,@BBC,0.0,0.918,0.082,"😭♥️ A cleaner at @BristolUni has been gifted £1,500 after students crowdfunded the money to send him to Jamaica.
👉… https://t.co/RDpCFhIj9j",47
48,0.296,Fri Jun 29 12:51:35 +0000 2018,@BBC,0.0,0.905,0.095,RT @bbcarts: Meet the six new musicians from around the globe who have been selected to join @BBCRadio3's prestigious New Generation Artist…,48
49,0.0,Fri Jun 29 12:00:19 +0000 2018,@BBC,0.0,1.0,0.0,"🤔 How many mysterious body parts can you identify from these hyper zoomed in photos?
#JuniorDoctors https://t.co/miuPM0KycI",49
50,0.2023,Fri Jun 29 11:03:07 +0000 2018,@BBC,0.0,0.893,0.107,"⚡️ How it feels to be hit by lightning + other one in a million chances.
👉 https://t.co/KXzFEzk1rI https://t.co/ZTWl0ZOE0m",50
51,0.3612,Fri Jun 29 09:56:50 +0000 2018,@BBC,0.0,0.848,0.152,RT @bbcthree: Endometriosis feels like being punched in the vagina with sharp knives. #HearHer https://t.co/pOuZyJObic,51
52,0.0,Fri Jun 29 08:00:12 +0000 2018,@BBC,0.0,1.0,0.0,♻️💵🇬🇭 Turning plastic trash into cash in Ghana. https://t.co/v3CTho7nnD,52
53,0.0,Fri Jun 29 07:29:06 +0000 2018,@BBC,0.0,1.0,0.0,"New research shows that our views, even on politics, are changing all the time... just not for the reasons you’d ex… https://t.co/iMz9pEItxv",53
54,0.5859,Fri Jun 29 07:00:12 +0000 2018,@BBC,0.0,0.648,0.352,🐛😂 Have you ever tried worm charming? https://t.co/S8BPzCmE8N,54
55,-0.296,Thu Jun 28 19:05:04 +0000 2018,@BBC,0.099,0.901,0.0,Tesla chief executive Elon Musk has been accused of using an image of a farting unicorn for his business without pe… https://t.co/kbq6rFYcrM,55
56,0.0,Thu Jun 28 18:02:05 +0000 2018,@BBC,0.0,1.0,0.0,Can changing your body change your life? https://t.co/be3u67fFFS,56
57,0.4696,Thu Jun 28 16:13:35 +0000 2018,@BBC,0.0,0.861,0.139,RT @bbcthree: Housemates who never take the bins out? A girlfriend who keeps forgetting your name? Let Uncle @RomeshRanga help https://t.co…,57
58,-0.128,Thu Jun 28 16:00:25 +0000 2018,@BBC,0.155,0.711,0.134,"Half of all people who drown never intended to be in the water.

Knowing this could save a life 👇 https://t.co/94IezeCREn",58
59,0.0,Thu Jun 28 15:52:28 +0000 2018,@BBC,0.0,1.0,0.0,"RT @BBC6Music: If you could pick just one Erykah Badu (@fatbellybella) tune, which would you choose?

Here's @JanelleMonae on one - maybe t…",59
60,0.4963,Thu Jun 28 15:22:37 +0000 2018,@BBC,0.052,0.761,0.188,"RT @BBCR1: TONIGHT Elton John (@eltonofficial) picks the Party Playlist for @AnnieMac - you don't want to miss this! Expect Aretha, Rihanna…",60
61,0.6369,Thu Jun 28 13:00:23 +0000 2018,@BBC,0.09,0.676,0.234,"Narcissists might be irritating attention seekers - but they are also *annoyingly* likely to be successful, accordi… https://t.co/yguYXaIv0d",61
62,0.0,Thu Jun 28 12:02:08 +0000 2018,@BBC,0.0,1.0,0.0,😲 Raghda Ezzeldin can hold her breath under water for more than five minutes! https://t.co/x8hOifrjWI,62
63,-0.3818,Thu Jun 28 11:47:05 +0000 2018,@BBC,0.115,0.885,0.0,"RT @BBCNews: Prince William is expected to visit his great-grandmother's grave in Jerusalem.

She was Princess Alice of Greece, who helped…",63
64,0.0,Thu Jun 28 11:16:03 +0000 2018,@BBC,0.0,1.0,0.0,🦔 A hedgehog which it is thought could be the world's fattest has been placed on a strict diet and exercise regime.… https://t.co/351IQDFz3F,64
65,0.1531,Thu Jun 28 10:12:00 +0000 2018,@BBC,0.0,0.833,0.167,"Plastic. It’s durable, dependable and virtually indestructible.

#PlasticsAction https://t.co/4wNNoNfvPt",65
66,0.0,Thu Jun 28 08:01:07 +0000 2018,@BBC,0.0,1.0,0.0,Minimalism is not just about having few possessions. https://t.co/0rRvrVm6Sz,66
67,-0.5994,Thu Jun 28 07:25:04 +0000 2018,@BBC,0.206,0.794,0.0,"What would happen if we knew when and how we were going to die?
👉 https://t.co/S0q9fwOYBs https://t.co/tLLJOAjuZX",67
68,0.5106,Thu Jun 28 07:01:02 +0000 2018,@BBC,0.0,0.777,0.223,"How do you convince millions of people living off-grid in India to embrace solar power?
#BBCTakingTheTemperature https://t.co/VmIq95ebZb",68
69,-0.7351,Wed Jun 27 20:01:05 +0000 2018,@BBC,0.267,0.733,0.0,"A raw and unfiltered insight into the bloodiest conflict since the Second World War.

Storyville: This is Congo | 1… https://t.co/8biUiR6fAI",69
70,0.0,Wed Jun 27 19:02:01 +0000 2018,@BBC,0.0,1.0,0.0,"😂  @Cher's ""criminal"" past is 😳...
#TheGNShow https://t.co/O3bSFbOaO9",70
71,0.0,Wed Jun 27 18:00:25 +0000 2018,@BBC,0.0,1.0,0.0,🎧 Can you believe DJ Switch only started DJ-ing a year ago? https://t.co/b5CY3vEX7Q,71
72,-0.4215,Wed Jun 27 16:04:05 +0000 2018,@BBC,0.259,0.741,0.0,Something deadly lies beneath the ice in Iceland... https://t.co/IqWwmtfTkk,72
73,0.0,Wed Jun 27 15:09:27 +0000 2018,@BBC,0.0,1.0,0.0,"🕺 *Knight Fever* 

Bee Gee Sir Barry Gibb paid tribute to his late brothers as he collected his knighthood on Tuesd… https://t.co/LLIHYKRfhR",73
74,0.0,Wed Jun 27 14:42:13 +0000 2018,@BBC,0.0,1.0,0.0,RT @bbccomedy: Some writing advice from an expert... #NationalWritingDay @RealMattLucas @davidwalliams https://t.co/lz2MQzpvKY,74
75,0.0,Wed Jun 27 13:05:07 +0000 2018,@BBC,0.0,1.0,0.0,"French butchers have written to the government asking for protection against militant vegans.
👉… https://t.co/6pgMQ46tUR",75
76,-0.5106,Wed Jun 27 11:52:00 +0000 2018,@BBC,0.35,0.65,0.0,☕️ How a simple change is cutting coffee cup waste https://t.co/kkbcSZvFn3,76
77,0.9403,Wed Jun 27 11:39:52 +0000 2018,@BBC,0.0,0.536,0.464,"RT @BBCBreakfast: Dear Summer, ☀️
We're enjoying this lovely weather. Can you stay?
Lots of love - The entire UK x
#heatwave https://t.co/g…",77
78,0.0,Wed Jun 27 11:03:04 +0000 2018,@BBC,0.0,1.0,0.0,"🦔🧙 Did you know people used to think hedgehogs were witches?

Here are nine things you might not know about the hum… https://t.co/Wj7a5idS4m",78
79,0.0,Wed Jun 27 09:30:20 +0000 2018,@BBC,0.0,1.0,0.0,"😐 This is what happens when you hire an arts and crafts teacher to freshen up a 16th-Century wooden sculpture.
👉… https://t.co/qVNcgsGM8C",79
80,0.6114,Wed Jun 27 08:47:40 +0000 2018,@BBC,0.05,0.756,0.194,RT @BBCArchive: Computer geeks - this is your lucky day! You can now watch all 146 original programmes and run 161 programs from the 1980s…,80
81,0.0,Wed Jun 27 08:01:05 +0000 2018,@BBC,0.0,1.0,0.0,👟 @MumsnetTowers founder @Justine_Roberts on why you should always wear trainers to work. https://t.co/FgTPRo5Agm,81
82,0.5106,Wed Jun 27 07:29:04 +0000 2018,@BBC,0.051,0.791,0.158,"😴 The colour cyan - between green and blue - is a hidden factor in encouraging or preventing sleep, according to bi… https://t.co/HogBXzm2Y5",82
83,0.4939,Wed Jun 27 07:01:05 +0000 2018,@BBC,0.0,0.856,0.144,Inside the community where people with learning disabilities and the people who care for them live and work togethe… https://t.co/LurfYqtc84,83
84,0.0,Tue Jun 26 21:20:15 +0000 2018,@BBC,0.0,1.0,0.0,"RT @BBC6Music: Did @kanyewest and @theweeknd ""blatantly"" rip off @nineinchnails' live show?

Weds, Noon BST: Nine Inch Nails' @trent_reznor…",84
85,0.0,Tue Jun 26 19:05:08 +0000 2018,@BBC,0.0,1.0,0.0,"😎🔥🍦 Hot temperatures in the UK are expected to last until the weekend.
👉 https://t.co/ZhZVaKJuqf

#HeatwaveUK https://t.co/smTw2ule2v",85
86,0.296,Tue Jun 26 18:03:06 +0000 2018,@BBC,0.074,0.792,0.134,"Tonight, @itsanitarani and @bbcnickrobinson ask tough questions about the NHS in a special live event. 

 NHS at 70… https://t.co/Wu4ECf7qic",86
87,0.0,Tue Jun 26 17:02:02 +0000 2018,@BBC,0.0,1.0,0.0,How would you feel if the builder only made you half a house? https://t.co/yaWB0USzex,87
88,0.0,Tue Jun 26 16:33:41 +0000 2018,@BBC,0.0,1.0,0.0,"RT @bbcwritersroom: Tomorrow, Wednesday 27th June is #NationalWritingDay! @writeday

As part of the events we're running a live Twitter Q&amp;A…",88
89,0.0,Tue Jun 26 16:00:15 +0000 2018,@BBC,0.0,1.0,0.0,🍅 You can grow tomatoes in Iceland?!   https://t.co/ndmcf1SL8y,89
90,0.0,Tue Jun 26 14:52:03 +0000 2018,@BBC,0.0,1.0,0.0,"RT @BBCWales: #ToProvideAllPeople: A star-studded film written by @OwenSheers to mark #NHS70.

Starring @MichaelSheen, @TeamEveMyles, @Pack…",90
91,0.836,Tue Jun 26 14:32:33 +0000 2018,@BBC,0.0,0.683,0.317,"RT @BBCRadio2: To celebrate the anniversary of 1988's second Summer of Love, @djgarydavies, @ZoeTheBall, and @MsAnaMatronic are heading to…",91
92,0.6114,Tue Jun 26 13:12:16 +0000 2018,@BBC,0.0,0.818,0.182,"RT @BBCR1: Happy Birthday, @ArianaGrande! 🎈✨

Here's a throwback to her offering some 10/10 relationship advice to callers on @R1Breakfast…",92
93,0.0,Tue Jun 26 12:58:04 +0000 2018,@BBC,0.0,1.0,0.0,"🚄😽🎀 Japan has unveiled a pink bullet train themed around the cartoon character #HelloKitty.
👉… https://t.co/uPA1cevSHt",93
94,0.5267,Tue Jun 26 12:02:04 +0000 2018,@BBC,0.0,0.673,0.327,"Activist
Poet
Director
Actor
Writer...

...and inspiration https://t.co/oOpo1fJV5K",94
95,0.0,Tue Jun 26 11:02:03 +0000 2018,@BBC,0.0,1.0,0.0,"🍕💐 Would you say 'I dough' to this pizza bouquet?
👉 https://t.co/HqnBOtPZlN https://t.co/BJqFMcpWKv",95
96,0.0,Tue Jun 26 09:30:00 +0000 2018,@BBC,0.0,1.0,0.0,"🌍♻️💥👊
What will your #PlasticsAction be? https://t.co/QQ1ZBgNyZN",96
97,-0.2732,Tue Jun 26 08:00:16 +0000 2018,@BBC,0.139,0.861,0.0,Turns out you're biased in all sorts of ways you may not realise. https://t.co/yZ0ziOfX2L,97
98,-0.7717,Tue Jun 26 07:26:08 +0000 2018,@BBC,0.295,0.705,0.0,"Seabirds are starving to death on the remote Lord Howe Island, a crew filming for the @BBCOne documentary… https://t.co/XHDOBZn5Yb",98
99,0.5994,Tue Jun 26 07:00:12 +0000 2018,@BBC,0.0,0.738,0.262,💕 Julie is the childcare champion in the heart of the Gorbals. https://t.co/LcdEhzyTBG,99
100,0.0,Wed Jun 27 20:31:32 +0000 2018,@CBS,0.0,1.0,0.0,What’s summer without @CBSBigBrother? ☀️ RT if you’re counting down the hours to the #BB20 premiere TONIGHT at 8/7c… https://t.co/Xp1s4Fp5J8,0
101,0.7574,Wed Jun 27 14:00:01 +0000 2018,@CBS,0.0,0.711,0.289,"It looks like you...

(•_•)
( •_•)&gt;⌐■-■
(⌐■_■)

Have a lot of TV to watch!

Celebrate #NationalSunglassesDay with H… https://t.co/Babt4ajIgV",1
102,0.5574,Mon Jun 25 18:20:25 +0000 2018,@CBS,0.0,0.796,0.204,The world will finally know the truth. ☄️ Make sure to tune in to the heart-pounding Season 2 premiere of… https://t.co/mqMleW90DY,2
103,0.1867,Fri Jun 22 21:19:06 +0000 2018,@CBS,0.0,0.902,0.098,Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a,3
104,0.4199,Fri Jun 22 18:33:53 +0000 2018,@CBS,0.0,0.811,0.189,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",4
105,0.4926,Thu Jun 21 23:29:50 +0000 2018,@CBS,0.0,0.758,0.242,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",5
106,0.3555,Wed Jun 20 00:39:01 +0000 2018,@CBS,0.136,0.642,0.222,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,6
107,0.0,Mon Jun 18 20:27:50 +0000 2018,@CBS,0.0,1.0,0.0,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,7
108,0.0,Mon Jun 18 15:00:46 +0000 2018,@CBS,0.0,1.0,0.0,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,8
109,0.9392,Sun Jun 17 13:00:01 +0000 2018,@CBS,0.0,0.507,0.493,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",9
110,0.3595,Fri Jun 15 18:48:29 +0000 2018,@CBS,0.0,0.872,0.128,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",10
111,-0.296,Thu Jun 14 17:30:00 +0000 2018,@CBS,0.167,0.833,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",11
112,0.1779,Thu Jun 14 16:19:32 +0000 2018,@CBS,0.12,0.734,0.147,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,12
113,-0.5562,Tue Jun 12 00:19:23 +0000 2018,@CBS,0.315,0.551,0.134,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",13
114,0.5093,Mon Jun 11 22:23:06 +0000 2018,@CBS,0.0,0.829,0.171,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",14
115,-0.296,Mon Jun 11 19:01:38 +0000 2018,@CBS,0.167,0.833,0.0,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",15
116,0.0,Mon Jun 11 14:00:37 +0000 2018,@CBS,0.0,1.0,0.0,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,16
117,0.0,Mon Jun 11 06:19:36 +0000 2018,@CBS,0.0,1.0,0.0,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,17
118,0.4767,Mon Jun 11 06:04:41 +0000 2018,@CBS,0.0,0.78,0.22,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,18
119,0.8478,Mon Jun 11 03:10:33 +0000 2018,@CBS,0.0,0.594,0.406,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,19
120,0.92,Mon Jun 11 03:02:06 +0000 2018,@CBS,0.0,0.537,0.463,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,20
121,0.0,Mon Jun 11 02:58:30 +0000 2018,@CBS,0.0,1.0,0.0,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",21
122,0.4404,Mon Jun 11 02:56:40 +0000 2018,@CBS,0.0,0.847,0.153,RT @_stobin13: watching the #TonyAwards after going to 3 broadway shows this weekend makes it even better 😍🤩,22
123,0.836,Mon Jun 11 02:56:10 +0000 2018,@CBS,0.0,0.533,0.467,Tony Shalhoub wins Best Leading Actor in a Musical. #TonyAwards   #TheBandsVisit https://t.co/KcUDSicKI5,23
124,0.0,Mon Jun 11 02:53:00 +0000 2018,@CBS,0.0,1.0,0.0,The Boss looks right at home on the #TonyAwards stage! https://t.co/pwjv4iydkn,24
125,0.6369,Mon Jun 11 02:47:29 +0000 2018,@CBS,0.0,0.682,0.318,RT @Aatamianphoto: Springsteen is on the #TonyAwards and I love it.,25
126,0.7978,Mon Jun 11 02:44:50 +0000 2018,@CBS,0.0,0.457,0.543,Inspiration: Get to your YES! #OnceOnThisIsland #TonyAwards https://t.co/Wjp0QIWfXq,26
127,0.9523,Mon Jun 11 02:44:37 +0000 2018,@CBS,0.0,0.45,0.55,The feeling when you win a Tony. 🙌 Congratulations to Once on This Island for winning Best Revival of a Musical!… https://t.co/UpFCqgBTwh,27
128,0.5994,Mon Jun 11 02:33:09 +0000 2018,@CBS,0.0,0.698,0.302,What a beautiful performance by the cast of #TheBandsVisit. #TonyAwards https://t.co/4Hw96kZvrf,28
